id | date | time | ip | table | result count | run time | query
60 | 2024_01_02 | 14:25:22 | ::1 | log_record_audit |  |  | INSERT INTO log_record_audit (record_table,record_id,audit_type,audit_note,create_date,create_id,create_ip,create_sess_id) VALUES ('log_record_audit','58',1,0,'2024-01-02 02:25:22',0,'::1',0)
61 | 2024_01_02 | 14:25:22 | ::1 | log_record_audit |  |  | INSERT INTO log_record_audit (record_table,record_id,audit_type,audit_note,create_date,create_id,create_ip,create_sess_id) VALUES ('log_record_audit','59',1,0,'2024-01-02 02:25:22',0,'::1',0)
62 | 2024_01_02 | 14:25:22 | ::1 | log_record_audit |  |  | INSERT INTO log_record_audit (record_table,record_id,audit_type,audit_note,create_date,create_id,create_ip,create_sess_id) VALUES ('log_record_audit','60',1,0,'2024-01-02 02:25:22',0,'::1',0)
63 | 2024_01_02 | 14:25:22 | ::1 | log_record_audit |  |  | INSERT INTO log_record_audit (record_table,record_id,audit_type,audit_note,create_date,create_id,create_ip,create_sess_id) VALUES ('log_record_audit','61',1,0,'2024-01-02 02:25:22',0,'::1',0)
64 | 2024_01_02 | 14:25:22 | ::1 | log_record_audit |  |  | INSERT INTO log_record_audit (record_table,record_id,audit_type,audit_note,create_date,create_id,create_ip,create_sess_id) VALUES ('log_record_audit','62',1,0,'2024-01-02 02:25:22',0,'::1',0)
65 | 2024_01_02 | 14:25:22 | ::1 | log_record_audit |  |  | INSERT INTO log_record_audit (record_table,record_id,audit_type,audit_note,create_date,create_id,create_ip,create_sess_id) VALUES ('log_record_audit','63',1,0,'2024-01-02 02:25:22',0,'::1',0)
66 | 2024_01_02 | 14:25:22 | ::1 | log_record_audit |  |  | INSERT INTO log_record_audit (record_table,record_id,audit_type,audit_note,create_date,create_id,create_ip,create_sess_id) VALUES ('log_record_audit','64',1,0,'2024-01-02 02:25:22',0,'::1',0)
67 | 2024_01_02 | 14:25:22 | ::1 | log_record_audit |  |  | INSERT INTO log_record_audit (record_table,record_id,audit_type,audit_note,create_date,create_id,create_ip,create_sess_id) VALUES ('log_record_audit','65',1,0,'2024-01-02 02:25:22',0,'::1',0)
68 | 2024_01_02 | 14:25:22 | ::1 | log_record_audit |  |  | INSERT INTO log_record_audit (record_table,record_id,audit_type,audit_note,create_date,create_id,create_ip,create_sess_id) VALUES ('log_record_audit','66',1,0,'2024-01-02 02:25:22',0,'::1',0)
69 | 2024_01_02 | 14:25:22 | ::1 | log_record_audit |  |  | INSERT INTO log_record_audit (record_table,record_id,audit_type,audit_note,create_date,create_id,create_ip,create_sess_id) VALUES ('log_record_audit','67',1,0,'2024-01-02 02:25:22',0,'::1',0)
70 | 2024_01_02 | 14:25:22 | ::1 | log_record_audit |  |  | INSERT INTO log_record_audit (record_table,record_id,audit_type,audit_note,create_date,create_id,create_ip,create_sess_id) VALUES ('log_record_audit','68',1,0,'2024-01-02 02:25:22',0,'::1',0)
71 | 2024_01_02 | 14:25:22 | ::1 | log_record_audit |  |  | INSERT INTO log_record_audit (record_table,record_id,audit_type,audit_note,create_date,create_id,create_ip,create_sess_id) VALUES ('log_record_audit','69',1,0,'2024-01-02 02:25:22',0,'::1',0)
72 | 2024_01_02 | 14:25:22 | ::1 | log_record_audit |  |  | INSERT INTO log_record_audit (record_table,record_id,audit_type,audit_note,create_date,create_id,create_ip,create_sess_id) VALUES ('log_record_audit','70',1,0,'2024-01-02 02:25:22',0,'::1',0)
73 | 2024_01_02 | 14:25:22 | ::1 | log_record_audit |  |  | INSERT INTO log_record_audit (record_table,record_id,audit_type,audit_note,create_date,create_id,create_ip,create_sess_id) VALUES ('log_record_audit','71',1,0,'2024-01-02 02:25:22',0,'::1',0)
74 | 2024_01_02 | 14:25:22 | ::1 | log_record_audit |  |  | INSERT INTO log_record_audit (record_table,record_id,audit_type,audit_note,create_date,create_id,create_ip,create_sess_id) VALUES ('log_record_audit','72',1,0,'2024-01-02 02:25:22',0,'::1',0)
75 | 2024_01_02 | 14:25:22 | ::1 | log_record_audit |  |  | INSERT INTO log_record_audit (record_table,record_id,audit_type,audit_note,create_date,create_id,create_ip,create_sess_id) VALUES ('log_record_audit','73',1,0,'2024-01-02 02:25:22',0,'::1',0)
76 | 2024_01_02 | 14:25:22 | ::1 | log_record_audit |  |  | INSERT INTO log_record_audit (record_table,record_id,audit_type,audit_note,create_date,create_id,create_ip,create_sess_id) VALUES ('log_record_audit','74',1,0,'2024-01-02 02:25:22',0,'::1',0)
77 | 2024_01_02 | 14:25:22 | ::1 | log_record_audit |  |  | INSERT INTO log_record_audit (record_table,record_id,audit_type,audit_note,create_date,create_id,create_ip,create_sess_id) VALUES ('log_record_audit','75',1,0,'2024-01-02 02:25:22',0,'::1',0)
78 | 2024_01_02 | 14:25:22 | ::1 | log_record_audit |  |  | INSERT INTO log_record_audit (record_table,record_id,audit_type,audit_note,create_date,create_id,create_ip,create_sess_id) VALUES ('log_record_audit','76',1,0,'2024-01-02 02:25:22',0,'::1',0)
79 | 2024_01_02 | 14:25:22 | ::1 | log_record_audit |  |  | INSERT INTO log_record_audit (record_table,record_id,audit_type,audit_note,create_date,create_id,create_ip,create_sess_id) VALUES ('log_record_audit','77',1,0,'2024-01-02 02:25:22',0,'::1',0)
80 | 2024_01_02 | 14:25:22 | ::1 | log_record_audit |  |  | INSERT INTO log_record_audit (record_table,record_id,audit_type,audit_note,create_date,create_id,create_ip,create_sess_id) VALUES ('log_record_audit','78',1,0,'2024-01-02 02:25:22',0,'::1',0)
81 | 2024_01_02 | 14:25:22 | ::1 | log_record_audit |  |  | INSERT INTO log_record_audit (record_table,record_id,audit_type,audit_note,create_date,create_id,create_ip,create_sess_id) VALUES ('log_record_audit','79',1,0,'2024-01-02 02:25:22',0,'::1',0)
82 | 2024_01_02 | 14:25:22 | ::1 | log_record_audit |  |  | INSERT INTO log_record_audit (record_table,record_id,audit_type,audit_note,create_date,create_id,create_ip,create_sess_id) VALUES ('log_record_audit','80',1,0,'2024-01-02 02:25:22',0,'::1',0)
83 | 2024_01_02 | 14:25:22 | ::1 | log_record_audit |  |  | INSERT INTO log_record_audit (record_table,record_id,audit_type,audit_note,create_date,create_id,create_ip,create_sess_id) VALUES ('log_record_audit','81',1,0,'2024-01-02 02:25:22',0,'::1',0)
84 | 2024_01_02 | 14:25:22 | ::1 | log_record_audit |  |  | INSERT INTO log_record_audit (record_table,record_id,audit_type,audit_note,create_date,create_id,create_ip,create_sess_id) VALUES ('log_record_audit','82',1,0,'2024-01-02 02:25:22',0,'::1',0)
85 | 2024_01_02 | 14:25:22 | ::1 | log_record_audit |  |  | INSERT INTO log_record_audit (record_table,record_id,audit_type,audit_note,create_date,create_id,create_ip,create_sess_id) VALUES ('log_record_audit','83',1,0,'2024-01-02 02:25:22',0,'::1',0)
86 | 2024_01_02 | 14:25:22 | ::1 | log_record_audit |  |  | INSERT INTO log_record_audit (record_table,record_id,audit_type,audit_note,create_date,create_id,create_ip,create_sess_id) VALUES ('log_record_audit','84',1,0,'2024-01-02 02:25:22',0,'::1',0)
87 | 2024_01_02 | 14:25:22 | ::1 | log_record_audit |  |  | INSERT INTO log_record_audit (record_table,record_id,audit_type,audit_note,create_date,create_id,create_ip,create_sess_id) VALUES ('log_record_audit','85',1,0,'2024-01-02 02:25:22',0,'::1',0)
88 | 2024_01_02 | 14:25:22 | ::1 | log_record_audit |  |  | INSERT INTO log_record_audit (record_table,record_id,audit_type,audit_note,create_date,create_id,create_ip,create_sess_id) VALUES ('log_record_audit','86',1,0,'2024-01-02 02:25:22',0,'::1',0)
89 | 2024_01_02 | 14:25:22 | ::1 | log_record_audit |  |  | INSERT INTO log_record_audit (record_table,record_id,audit_type,audit_note,create_date,create_id,create_ip,create_sess_id) VALUES ('log_record_audit','87',1,0,'2024-01-02 02:25:22',0,'::1',0)
90 | 2024_01_02 | 14:25:22 | ::1 | log_record_audit |  |  | INSERT INTO log_record_audit (record_table,record_id,audit_type,audit_note,create_date,create_id,create_ip,create_sess_id) VALUES ('log_record_audit','88',1,0,'2024-01-02 02:25:22',0,'::1',0)
